num,gear_long,method,code,gear,flag,area
1,LL,L,1.LL.ALL.1,LL,ALL,1
2,LL,L,2.LL.ALL.2,LL,ALL,2
3,LL,L,3.LL.US.2,LL,US,2
4,LL,L,4.LL.ALL.3,LL,ALL,3
5,LL,L,5.LL.OS.3,LL,OS,3
6,LL,L,6.LL.OS.7,LL,OS,7
7,LL,L,7.LL.ALL.7,LL,ALL,7
8,LL,L,8.LL.ALL.8,LL,ALL,8
9,LL,L,9.LL.ALL.4,LL,ALL,4
10,LL,L,10.LL.AU.5,LL,AU,5
11,LL,L,11.LL.ALL.5,LL,ALL,5
12,LL,L,12.LL.ALL.6,LL,ALL,6
13,PS.ASS,SA,13.PS.ASS.3,PS.ASS,ALL,3
14,PS.UNA,SU,14.PS.UNA.3,PS.UNA,ALL,3
15,PS.ASS,SA,15.PS.ASS.4,PS.ASS,ALL,4
16,PS.UNA,SU,16.PS.UNA.4,PS.UNA,ALL,4
17,MISC,Z,17.MISC.PH.7,MISC,PH,7
18,HL,Z,18.HL.PHID.7,MISC,PH.ID,7
19,PS,S,19.PS.JP.1,PS,JP,1
20,PL,P,20.PL.JP.1,PL,JP,1
21,PL,P,21.PL.ALL.3,PL,ALL,3
22,PL,P,22.PL.ALL.8,PL,ALL,8
23,MISC,Z,23.MISC.ID.7,MISC,ID,7
24,PS,S,24.PS.PHID.7,PS,PH.ID,7
25,PS.ASS,SA,25.PS.ASS.8,PS.ASS,ALL,8
26,PS.UNA,SU,26.PS.UNA.8,PS.UNA,ALL,8
27,LL,L,27.LL.AU.9,LL,AU,9
28,PL,P,28.PL.ALL.7,PL,ALL,7
29,LL,L,29.LL.ALL.9,LL,ALL,9
30,PS.ASS,SA,30.PS.ASS.7,PS.ASS,ALL,7
31,PS.UNA,SU,31.PS.UNA.7,PS.UNA,ALL,7
32,MISC,Z,32.MISC.VN.7,MISC,VN,7
33,Index,I,33.LL.IDX.1,LL,IDX,1
34,Index,I,34.LL.IDX.2,LL,IDX,2
35,Index,I,35.LL.IDX.3,LL,IDX,3
36,Index,I,36.LL.IDX.4,LL,IDX,4
37,Index,I,37.LL.IDX.5,LL,IDX,5
38,Index,I,38.LL.IDX.6,LL,IDX,6
39,Index,I,39.LL.IDX.7,LL,IDX,7
40,Index,I,40.LL.IDX.8,LL,IDX,8
41,Index,I,41.LL.IDX.9,LL,IDX,9
