age,length,weight,maturity,natmort
 1, 23.3, 0.3,0.001,0.498
 2, 36.9, 1.2,0.001,0.315
 3, 49.0, 2.8,0.001,0.237
 4, 59.8, 5.0,0.001,0.194
 5, 69.4, 7.8,0.002,0.167
 6, 78.1,11.0,0.010,0.149
 7, 85.8,14.5,0.039,0.136
 8, 92.6,18.1,0.114,0.125
 9, 98.8,21.9,0.239,0.118
10,104.3,25.6,0.387,0.111
11,109.2,29.3,0.523,0.106
12,113.6,32.9,0.631,0.102
13,117.5,36.4,0.710,0.099
14,121.0,39.6,0.768,0.096
15,124.1,42.7,0.810,0.094
16,126.9,45.6,0.842,0.092
17,129.4,48.2,0.866,0.090
18,131.6,50.7,0.886,0.088
19,133.6,53.0,0.902,0.087
20,135.4,55.1,0.915,0.086
21,137.0,57.0,0.926,0.085
22,138.4,58.8,0.936,0.084
23,139.7,60.3,0.945,0.083
24,140.8,61.8,0.952,0.082
25,141.8,63.1,0.959,0.082
26,142.7,64.3,0.964,0.081
27,143.5,65.4,0.969,0.081
28,144.3,66.3,0.974,0.081
29,144.9,67.2,0.978,0.080
30,145.5,68.0,0.981,0.080
31,146.0,68.7,0.984,0.080
32,146.5,69.3,0.987,0.079
33,146.9,69.9,0.990,0.079
34,147.2,70.4,0.992,0.079
35,147.6,70.9,0.994,0.079
36,147.9,71.3,0.996,0.079
37,148.1,71.7,0.997,0.078
38,148.4,72.0,0.999,0.078
39,148.6,72.3,0.999,0.078
40,148.7,72.5,1.000,0.078
